Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,341.0,1.0,341.0,341.0,0.1,290.88199999999983,0.0,0.0,0.004751920700073242,,,,,,,,,,,,,,,,,,,,,123.48902321075916,73.42705585326445,249.270534884365,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,473.0,2.0,132.0,473.0,0.1,97.13200000000003,0.0,0.0,11.776554346084595,,,,,,,,,,,,,,,,,,,,,39.458879013187044,28.003254030294922,92.10755096463761,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,743.0,3.0,270.0,743.0,0.1,219.12900000000002,0.0,0.0,35.59294247627258,,,,,,,,,,,,,,,,,,,,,94.867134532475,57.75108565450913,193.90248474323374,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,940.0,4.0,197.0,940.0,0.1,143.63300000000004,0.0,0.0,52.90167260169983,,,,,,,,,,,,,,,,,,,,,62.68909209428159,42.272007966780905,131.54620973067819,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1249.0,5.0,309.0,1249.0,0.1,241.38800000000006,0.0,0.0,79.91519212722778,,,,,,,,,,,,,,,,,,,,,99.94822132292485,63.63691698787433,210.92563996550726,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1518.0,6.0,269.0,1518.0,0.1,229.00500000000002,0.0,0.0,103.4142575263977,,,,,,,,,,,,,,,,,,,,,100.09266839847794,59.361111656394144,202.48483939475955,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1712.0,7.0,194.0,1712.0,0.1,149.25800000000004,0.0,0.0,120.53850674629211,,,,,,,,,,,,,,,,,,,,,63.71601884662988,39.977147629005856,137.17129776799203,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1773.0,8.0,61.0,1773.0,0.1,47.75299999999999,0.0,0.0,126.35952377319336,,,,,,,,,,,,,,,,,,,,,20.32332741380386,14.751832647008937,46.606443307930526,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1800.0,9.0,27.0,1800.0,0.1,13.254999999999997,0.0,0.0,129.07093048095703,,,,,,,,,,,,,,,,,,,,,5.267025987118545,4.510929442912291,13.139055269832197,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1914.0,10.0,114.0,1914.0,0.1,74.5200000000001,0.0,0.0,139.26965498924255,,,,,,,,,,,,,,,,,,,,,27.898674790708622,22.138871233160277,71.48244448037548,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
